task_id,worker_cap,stage,observed_sec,estimated_sec,call_sum_sec,noncall_overhead_sec,attempt_count,max_same_depth_modules
devs_gen-qwen-ABP-run_01,1,1,278.9,278.9,278.88,0.02,1,4
devs_gen-qwen-ABP-run_01,1,2,124.6,124.6,124.53,0.07,1,4
devs_gen-qwen-ABP-run_01,1,full_generation,429.31,429.31,,,1,4
devs_gen-qwen-ABP-run_01,2,1,278.9,264.509,278.88,0.02,1,4
devs_gen-qwen-ABP-run_01,2,2,124.6,78.395,124.53,0.07,1,4
devs_gen-qwen-ABP-run_01,2,full_generation,429.31,368.714,,,1,4
devs_gen-qwen-ABP-run_01,4,1,278.9,258.46,278.88,0.02,1,4
devs_gen-qwen-ABP-run_01,4,2,124.6,56.022,124.53,0.07,1,4
devs_gen-qwen-ABP-run_01,4,full_generation,429.31,340.292,,,1,4
devs_gen-qwen-ABP-run_01,8,1,278.9,258.46,278.88,0.02,1,4
devs_gen-qwen-ABP-run_01,8,2,124.6,56.022,124.53,0.07,1,4
devs_gen-qwen-ABP-run_01,8,full_generation,429.31,340.292,,,1,4
devs_gen-qwen-SA-run_01,1,1,430.6,430.6,430.526,0.074,1,5
devs_gen-qwen-SA-run_01,1,2,183.8,183.8,183.671,0.129,1,5
devs_gen-qwen-SA-run_01,1,full_generation,741.92,741.92,,,1,5
devs_gen-qwen-SA-run_01,2,1,430.6,412.493,430.526,0.074,1,5
devs_gen-qwen-SA-run_01,2,2,183.8,118.049,183.671,0.129,1,5
devs_gen-qwen-SA-run_01,2,full_generation,741.92,658.062,,,1,5
devs_gen-qwen-SA-run_01,4,1,430.6,404.298,430.526,0.074,1,5
devs_gen-qwen-SA-run_01,4,2,183.8,72.151,183.671,0.129,1,5
devs_gen-qwen-SA-run_01,4,full_generation,741.92,603.969,,,1,5
devs_gen-qwen-SA-run_01,8,1,430.6,399.226,430.526,0.074,1,5
devs_gen-qwen-SA-run_01,8,2,183.8,72.151,183.671,0.129,1,5
devs_gen-qwen-SA-run_01,8,full_generation,741.92,598.897,,,1,5
devs_gen-qwen-barbershop-run_01,1,1,369.0,369.0,368.999,0.001,1,4
devs_gen-qwen-barbershop-run_01,1,2,149.1,149.1,149.035,0.065,1,4
devs_gen-qwen-barbershop-run_01,1,full_generation,538.07,538.07,,,1,4
devs_gen-qwen-barbershop-run_01,2,1,369.0,350.683,368.999,0.001,1,4
devs_gen-qwen-barbershop-run_01,2,2,149.1,99.717,149.035,0.065,1,4
devs_gen-qwen-barbershop-run_01,2,full_generation,538.07,470.37,,,1,4
devs_gen-qwen-barbershop-run_01,4,1,369.0,341.048,368.999,0.001,1,4
devs_gen-qwen-barbershop-run_01,4,2,149.1,78.001,149.035,0.065,1,4
devs_gen-qwen-barbershop-run_01,4,full_generation,538.07,439.019,,,1,4
devs_gen-qwen-barbershop-run_01,8,1,369.0,341.048,368.999,0.001,1,4
devs_gen-qwen-barbershop-run_01,8,2,149.1,78.001,149.035,0.065,1,4
devs_gen-qwen-barbershop-run_01,8,full_generation,538.07,439.019,,,1,4
devs_gen-qwen-SEIRD-run_01,1,1,190.9,190.9,188.843,2.057,1,1
devs_gen-qwen-SEIRD-run_01,1,2,38.5,38.5,38.493,0.007,1,1
