task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
single_simpy-glm-ABP-run_01,single_simpy,glm,ABP,run_01,generated/single_simpy/glm/ABP/run_01,0,0.0,0.0,226.33,0
single_simpy-glm-ABP-run_02,single_simpy,glm,ABP,run_02,generated/single_simpy/glm/ABP/run_02,0,0.0,0.0,78.92,0
single_simpy-glm-ABP-run_03,single_simpy,glm,ABP,run_03,generated/single_simpy/glm/ABP/run_03,0,0.1111111111111111,0.05862777180507617,300.01,0
single_simpy-glm-HouseHeating-run_01,single_simpy,glm,HouseHeating,run_01,generated/single_simpy/glm/HouseHeating/run_01,1,1.0,1.0,298.72,2151
single_simpy-glm-HouseHeating-run_02,single_simpy,glm,HouseHeating,run_02,generated/single_simpy/glm/HouseHeating/run_02,1,1.0,1.0,401.89,2228
single_simpy-glm-HouseHeating-run_03,single_simpy,glm,HouseHeating,run_03,generated/single_simpy/glm/HouseHeating/run_03,1,1.0,0.9879427083333333,162.52,2154
single_simpy-glm-IOBS-run_01,single_simpy,glm,IOBS,run_01,generated/single_simpy/glm/IOBS/run_01,0,0.5,0.45037797038893534,39.7,0
single_simpy-glm-IOBS-run_02,single_simpy,glm,IOBS,run_02,generated/single_simpy/glm/IOBS/run_02,0,0.0,0.0,300.01,0
single_simpy-glm-IOBS-run_03,single_simpy,glm,IOBS,run_03,generated/single_simpy/glm/IOBS/run_03,0,0.155,0.10333333333333333,193.8,0
single_simpy-glm-OTrain-run_01,single_simpy,glm,OTrain,run_01,generated/single_simpy/glm/OTrain/run_01,1,1.0,0.9260749488933475,0.3,0
single_simpy-glm-OTrain-run_02,single_simpy,glm,OTrain,run_02,generated/single_simpy/glm/OTrain/run_02,1,1.0,0.9243493205531368,0.3,0
single_simpy-glm-OTrain-run_03,single_simpy,glm,OTrain,run_03,,0,0.0,0.0,300.01,0
single_simpy-glm-SA-run_01,single_simpy,glm,SA,run_01,generated/single_simpy/glm/SA/run_01,0,0.0,0.0,0.63,0
single_simpy-glm-SA-run_02,single_simpy,glm,SA,run_02,generated/single_simpy/glm/SA/run_02,0,0.0,0.0,0.63,0
single_simpy-glm-SA-run_03,single_simpy,glm,SA,run_03,generated/single_simpy/glm/SA/run_03,1,1.0,0.9866618606879959,168.32,0
single_simpy-glm-SAA-run_01,single_simpy,glm,SAA,run_01,generated/single_simpy/glm/SAA/run_01,1,1.0,0.8854166666666667,295.02,2717
single_simpy-glm-SAA-run_02,single_simpy,glm,SAA,run_02,generated/single_simpy/glm/SAA/run_02,1,1.0,1.0,76.35,3102
single_simpy-glm-SAA-run_03,single_simpy,glm,SAA,run_03,generated/single_simpy/glm/SAA/run_03,1,1.0,0.9982051282051282,35.79,3264
single_simpy-glm-SEIRD-run_01,single_simpy,glm,SEIRD,run_01,generated/single_simpy/glm/SEIRD/run_01,0,0.875,0.8748566401438607,0.83,0
single_simpy-glm-SEIRD-run_02,single_simpy,glm,SEIRD,run_02,generated/single_simpy/glm/SEIRD/run_02,0,0.875,0.8748566401438607,0.83,0
single_simpy-glm-SEIRD-run_03,single_simpy,glm,SEIRD,run_03,generated/single_simpy/glm/SEIRD/run_03,1,1.0,0.9997250693695658,226.37,0
single_simpy-glm-StoreCashier-run_01,single_simpy,glm,StoreCashier,run_01,generated/single_simpy/glm/StoreCashier/run_01,0,0.0,0.0,207.83,3212
single_simpy-glm-StoreCashier-run_02,single_simpy,glm,StoreCashier,run_02,generated/single_simpy/glm/StoreCashier/run_02,1,1.0,1.0,76.61,3226
single_simpy-glm-StoreCashier-run_03,single_simpy,glm,StoreCashier,run_03,generated/single_simpy/glm/StoreCashier/run_03,1,1.0,0.8333333333333333,65.08,3820
single_simpy-glm-barbershop-run_01,single_simpy,glm,barbershop,run_01,generated/single_simpy/glm/barbershop/run_01,1,1.0,0.6234567901234569,179.39,0
single_simpy-glm-barbershop-run_02,single_simpy,glm,barbershop,run_02,,0,0.0,0.0,300.01,0
single_simpy-glm-barbershop-run_03,single_simpy,glm,barbershop,run_03,generated/single_simpy/glm/barbershop/run_03,1,1.0,0.9738845570716916,111.29,0
single_simpy-glm-oft-run_01,single_simpy,glm,oft,run_01,,0,0.0,0.0,103.05,0
single_simpy-glm-oft-run_02,single_simpy,glm,oft,run_02,generated/single_simpy/glm/oft/run_02,1,1.0,0.9657918470418471,300.01,0
single_simpy-glm-oft-run_03,single_simpy,glm,oft,run_03,generated/single_simpy/glm/oft/run_03,0,0.0,0.0,215.37,0
single_simpy-qwen-ABP-run_01,single_simpy,qwen,ABP,run_01,generated/single_simpy/qwen/ABP/run_01,0,0.0,0.0,59.0,0
single_simpy-qwen-ABP-run_02,single_simpy,qwen,ABP,run_02,generated/single_simpy/qwen/ABP/run_02,1,1.0,0.3072695084634514,21.47,0
single_simpy-qwen-ABP-run_03,single_simpy,qwen,ABP,run_03,generated/single_simpy/qwen/ABP/run_03,0,0.0,0.0,34.89,0
single_simpy-qwen-HouseHeating-run_01,single_simpy,qwen,HouseHeating,run_01,generated/single_simpy/qwen/HouseHeating/run_01,1,1.0,0.9625052034184504,20.46,1878
single_simpy-qwen-HouseHeating-run_02,single_simpy,qwen,HouseHeating,run_02,generated/single_simpy/qwen/HouseHeating/run_02,1,1.0,0.9648268198229799,22.97,1967
