model,method,scheduled_tasks,generated_code_tasks,scored_tasks,fully_operational_rate,score_ope_mean,score_ope_sd_across_run_means,score_beh_mean,score_beh_sd_across_run_means,finite_time_tasks,generation_time_mean_sec,generation_time_median_sec,generation_time_basis,finite_token_tasks,generation_tokens_mean
glm,devs_gen,30,30,30,0.800000,0.882365,0.064680,0.770105,0.036977,30,429.860900,378.137000,estimated_parallel_8,30,159019.067
glm,openhands,30,30,30,0.733333,0.870833,0.115470,0.808746,0.085792,30,213.161667,103.575000,recorded,30,662856.633
glm,openhands_lite,30,29,29,0.500000,0.650557,0.104106,0.591335,0.055567,29,535.051276,256.615000,recorded,29,417259.724
glm,swe_agent,30,25,22,0.700000,0.716667,0.125831,0.667147,0.154705,22,456.375682,244.370000,recorded,22,1950210.000
glm,swe_agent_lite,30,26,23,0.433333,0.509167,0.109554,0.479984,0.100518,23,465.919261,261.350000,recorded,20,44369.100
gpt,devs_gen,30,30,30,0.966667,0.984615,0.026647,0.894431,0.017104,30,182.284033,179.040000,estimated_parallel_8,30,164442.600
gpt,openhands,30,29,29,0.900000,0.960606,0.052486,0.854796,0.057525,29,599.490345,390.790000,recorded,29,432386.000
gpt,openhands_lite,30,29,29,0.900000,0.930000,0.060828,0.846037,0.111754,29,420.615621,254.615000,recorded,29,198606.483
gpt,swe_agent,30,27,27,0.866667,0.896970,0.170641,0.809531,0.138675,27,371.865556,341.180000,recorded,27,231276.222
gpt,swe_agent_lite,30,30,28,0.800000,0.830303,0.052486,0.784877,0.063854,28,66.828214,67.770000,recorded,28,19877.500
llama,devs_gen,30,25,25,0.200000,0.200000,0.000000,0.146010,0.004192,25,291.834720,230.872000,estimated_parallel_8,25,125542.520
llama,openhands,30,6,6,0.033333,0.091667,0.007217,0.056715,0.029094,6,78.204000,68.221500,recorded,6,56756.000
llama,openhands_lite,30,13,12,0.066667,0.125000,0.108253,0.107248,0.092879,12,62.841667,47.994500,recorded,12,35424.917
llama,swe_agent,30,16,16,0.100000,0.158333,0.145952,0.108871,0.094316,16,66.052125,61.073500,recorded,16,38380.812
llama,swe_agent_lite,30,18,18,0.166667,0.199537,0.095018,0.112472,0.058872,18,81.028944,48.300000,recorded,18,13742.444
qwen,devs_gen,30,30,30,0.500000,0.609800,0.091095,0.493851,0.064160,30,408.514667,392.849000,estimated_parallel_8,30,135457.133
qwen,openhands,30,27,26,0.566667,0.622870,0.062613,0.487717,0.055642,26,349.505308,319.033000,recorded,26,744530.192
qwen,openhands_lite,30,26,26,0.500000,0.507037,0.099631,0.401866,0.071181,25,399.112520,328.174000,recorded,25,387287.680
qwen,swe_agent,30,27,27,0.633333,0.668204,0.029402,0.555168,0.059616,27,554.568111,455.166000,recorded,27,1069389.741
qwen,swe_agent_lite,30,29,28,0.500000,0.543941,0.050174,0.426575,0.064357,28,286.119179,230.097000,recorded,28,148816.000
