task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
devs_gen-glm-ABP-run_01,devs_gen,glm,ABP,run_01,generated/devs_gen/glm/ABP/run_01,1,1.0,1.0,327.4,146504
devs_gen-glm-ABP-run_02,devs_gen,glm,ABP,run_02,generated/devs_gen/glm/ABP/run_02,1,1.0,1.0,1511.907,138890
devs_gen-glm-ABP-run_03,devs_gen,glm,ABP,run_03,generated/devs_gen/glm/ABP/run_03,1,1.0,1.0,720.303,151014
devs_gen-glm-HouseHeating-run_01,devs_gen,glm,HouseHeating,run_01,generated/devs_gen/glm/HouseHeating/run_01,1,1.0,0.9625052040802693,204.136,87382
devs_gen-glm-HouseHeating-run_02,devs_gen,glm,HouseHeating,run_02,generated/devs_gen/glm/HouseHeating/run_02,1,1.0,0.9625052040802693,235.67,75177
devs_gen-glm-HouseHeating-run_03,devs_gen,glm,HouseHeating,run_03,generated/devs_gen/glm/HouseHeating/run_03,1,1.0,0.9625052040802693,672.556,65766
devs_gen-glm-IOBS-run_01,devs_gen,glm,IOBS,run_01,generated/devs_gen/glm/IOBS/run_01,1,1.0,0.8820296325961647,278.291,215823
devs_gen-glm-IOBS-run_02,devs_gen,glm,IOBS,run_02,generated/devs_gen/glm/IOBS/run_02,1,1.0,0.7472046696870731,404.212,193998
devs_gen-glm-IOBS-run_03,devs_gen,glm,IOBS,run_03,generated/devs_gen/glm/IOBS/run_03,1,1.0,0.8329305985031379,593.507,223714
devs_gen-glm-OTrain-run_01,devs_gen,glm,OTrain,run_01,generated/devs_gen/glm/OTrain/run_01,1,1.0,0.9268891195927329,562.924,191020
devs_gen-glm-OTrain-run_02,devs_gen,glm,OTrain,run_02,generated/devs_gen/glm/OTrain/run_02,1,1.0,0.9595814093552517,306.449,121115
devs_gen-glm-OTrain-run_03,devs_gen,glm,OTrain,run_03,generated/devs_gen/glm/OTrain/run_03,1,1.0,0.7900125915750915,195.67,99014
devs_gen-glm-SA-run_01,devs_gen,glm,SA,run_01,generated/devs_gen/glm/SA/run_01,1,1.0,0.6411038142620232,291.035,203541
devs_gen-glm-SA-run_02,devs_gen,glm,SA,run_02,generated/devs_gen/glm/SA/run_02,0,0.5555555555555556,0.4008519176658219,625.972,267382
devs_gen-glm-SA-run_03,devs_gen,glm,SA,run_03,generated/devs_gen/glm/SA/run_03,1,1.0,0.9718865382410274,473.866,215482
devs_gen-glm-SAA-run_01,devs_gen,glm,SAA,run_01,generated/devs_gen/glm/SAA/run_01,1,1.0,0.88375,390.704,180140
devs_gen-glm-SAA-run_02,devs_gen,glm,SAA,run_02,generated/devs_gen/glm/SAA/run_02,1,1.0,0.9364583333333333,426.735,128849
devs_gen-glm-SAA-run_03,devs_gen,glm,SAA,run_03,generated/devs_gen/glm/SAA/run_03,1,1.0,0.8267361111111111,224.209,118637
devs_gen-glm-SEIRD-run_01,devs_gen,glm,SEIRD,run_01,generated/devs_gen/glm/SEIRD/run_01,1,1.0,0.9998566401438607,139.79,61629
devs_gen-glm-SEIRD-run_02,devs_gen,glm,SEIRD,run_02,generated/devs_gen/glm/SEIRD/run_02,1,1.0,0.9998566401438607,447.28,84525
devs_gen-glm-SEIRD-run_03,devs_gen,glm,SEIRD,run_03,generated/devs_gen/glm/SEIRD/run_03,0,0.875,0.8748566401438607,140.81,66330
devs_gen-glm-StoreCashier-run_01,devs_gen,glm,StoreCashier,run_01,generated/devs_gen/glm/StoreCashier/run_01,1,1.0,1.0,365.57,110595
devs_gen-glm-StoreCashier-run_02,devs_gen,glm,StoreCashier,run_02,generated/devs_gen/glm/StoreCashier/run_02,1,1.0,0.9761877913744532,489.38,111245
devs_gen-glm-StoreCashier-run_03,devs_gen,glm,StoreCashier,run_03,generated/devs_gen/glm/StoreCashier/run_03,1,1.0,0.97828087375301,433.96,72727
devs_gen-glm-barbershop-run_01,devs_gen,glm,barbershop,run_01,generated/devs_gen/glm/barbershop/run_01,0,0.1111111111111111,0.1111111111111111,313.409,175319
devs_gen-glm-barbershop-run_02,devs_gen,glm,barbershop,run_02,generated/devs_gen/glm/barbershop/run_02,1,1.0,0.9527959331880902,290.133,138587
devs_gen-glm-barbershop-run_03,devs_gen,glm,barbershop,run_03,generated/devs_gen/glm/barbershop/run_03,0,0.1111111111111111,0.1111111111111111,335.757,146031
devs_gen-glm-oft-run_01,devs_gen,glm,oft,run_01,generated/devs_gen/glm/oft/run_01,0,0.0,0.0,331.146,318001
devs_gen-glm-oft-run_02,devs_gen,glm,oft,run_02,generated/devs_gen/glm/oft/run_02,0,0.8181818181818182,0.18081709956709957,633.39,355427
devs_gen-glm-oft-run_03,devs_gen,glm,oft,run_03,generated/devs_gen/glm/oft/run_03,1,1.0,0.23132215007215007,529.656,306708
devs_gen-gpt-ABP-run_01,devs_gen,gpt,ABP,run_01,generated/devs_gen/gpt/ABP/run_01,1,1.0,1.0,159.636,137588
devs_gen-gpt-ABP-run_02,devs_gen,gpt,ABP,run_02,generated/devs_gen/gpt/ABP/run_02,1,1.0,1.0,205.204,137043
devs_gen-gpt-ABP-run_03,devs_gen,gpt,ABP,run_03,generated/devs_gen/gpt/ABP/run_03,1,1.0,1.0,145.34,136733
devs_gen-gpt-HouseHeating-run_01,devs_gen,gpt,HouseHeating,run_01,generated/devs_gen/gpt/HouseHeating/run_01,1,1.0,0.9625052040802693,127.705,81828
devs_gen-gpt-HouseHeating-run_02,devs_gen,gpt,HouseHeating,run_02,generated/devs_gen/gpt/HouseHeating/run_02,1,1.0,1.0,142.391,79915
devs_gen-gpt-HouseHeating-run_03,devs_gen,gpt,HouseHeating,run_03,generated/devs_gen/gpt/HouseHeating/run_03,1,1.0,1.0,104.153,77710
devs_gen-gpt-IOBS-run_01,devs_gen,gpt,IOBS,run_01,generated/devs_gen/gpt/IOBS/run_01,1,1.0,0.8407980826647489,212.377,224129
devs_gen-gpt-IOBS-run_02,devs_gen,gpt,IOBS,run_02,generated/devs_gen/gpt/IOBS/run_02,1,1.0,0.5312202380952381,202.506,216935
devs_gen-gpt-IOBS-run_03,devs_gen,gpt,IOBS,run_03,generated/devs_gen/gpt/IOBS/run_03,1,1.0,0.8076520545549841,164.365,219184
devs_gen-gpt-OTrain-run_01,devs_gen,gpt,OTrain,run_01,generated/devs_gen/gpt/OTrain/run_01,1,1.0,0.981989147441845,191.603,144498
devs_gen-gpt-OTrain-run_02,devs_gen,gpt,OTrain,run_02,generated/devs_gen/gpt/OTrain/run_02,0,0.5384615384615384,0.5244467911724967,231.038,178330
devs_gen-gpt-OTrain-run_03,devs_gen,gpt,OTrain,run_03,generated/devs_gen/gpt/OTrain/run_03,1,1.0,0.9814095668085949,185.437,165406
devs_gen-gpt-SA-run_01,devs_gen,gpt,SA,run_01,generated/devs_gen/gpt/SA/run_01,1,1.0,0.8811582832191456,202.642,213546
devs_gen-gpt-SA-run_02,devs_gen,gpt,SA,run_02,generated/devs_gen/gpt/SA/run_02,1,1.0,0.9762207984096282,226.87,211406
devs_gen-gpt-SA-run_03,devs_gen,gpt,SA,run_03,generated/devs_gen/gpt/SA/run_03,1,1.0,0.7691087604632496,177.701,209057
devs_gen-gpt-SAA-run_01,devs_gen,gpt,SAA,run_01,generated/devs_gen/gpt/SAA/run_01,1,1.0,1.0,171.752,118070
devs_gen-gpt-SAA-run_02,devs_gen,gpt,SAA,run_02,generated/devs_gen/gpt/SAA/run_02,1,1.0,1.0,216.677,118163
devs_gen-gpt-SAA-run_03,devs_gen,gpt,SAA,run_03,generated/devs_gen/gpt/SAA/run_03,1,1.0,1.0,175.157,179893
devs_gen-gpt-SEIRD-run_01,devs_gen,gpt,SEIRD,run_01,generated/devs_gen/gpt/SEIRD/run_01,1,1.0,0.9998566401438607,109.06,61761
devs_gen-gpt-SEIRD-run_02,devs_gen,gpt,SEIRD,run_02,generated/devs_gen/gpt/SEIRD/run_02,1,1.0,0.9998566401438607,127.26,62089
